device_id,total_txns,fraud_txns,fraud_value,linked_accounts,device_type
1.0,53,0,0.0,1,mobile
2.0,60,0,0.0,1,mobile
3.0,120,1,649.27,1,mobile
4.0,124,0,0.0,1,desktop
5.0,114,1,31.04,1,mobile
6.0,128,1,572.64,1,mobile
7.0,84,0,0.0,1,mobile
8.0,28,0,0.0,1,mobile
9.0,123,0,0.0,1,mobile
10.0,46,0,0.0,1,mobile
11.0,77,1,121.19,1,mobile
12.0,110,1,27.97,1,mobile
13.0,114,1,42.86,1,mobile
14.0,1,0,0.0,1,desktop
15.0,123,0,0.0,1,mobile
16.0,251,2,275.84000000000003,2,mobile
17.0,105,0,0.0,1,mobile
18.0,66,0,0.0,1,desktop
19.0,72,0,0.0,1,tablet
20.0,116,0,0.0,1,desktop
21.0,106,0,0.0,1,desktop
22.0,286,3,778.48,2,mobile
23.0,116,2,329.31,1,desktop
24.0,117,2,220.58999999999997,1,desktop
25.0,197,2,378.71000000000004,2,tablet
26.0,42,0,0.0,1,mobile
27.0,47,0,0.0,1,mobile
28.0,14,0,0.0,1,mobile
29.0,109,2,139.59,1,desktop
30.0,10,0,0.0,1,desktop
31.0,88,1,8.3,1,desktop
32.0,127,0,0.0,1,mobile
33.0,102,1,7.69,1,mobile
34.0,66,0,0.0,1,tablet
35.0,34,0,0.0,1,mobile
36.0,34,0,0.0,1,tablet
37.0,144,1,177.91,1,mobile
38.0,236,4,75.34,2,mobile
39.0,80,1,108.73,1,mobile
40.0,60,0,0.0,1,mobile
41.0,129,1,336.4,1,desktop
42.0,108,0,0.0,1,desktop
43.0,115,0,0.0,1,mobile
44.0,116,0,0.0,1,mobile
45.0,19,0,0.0,1,mobile
46.0,71,2,3855.65,1,mobile
47.0,92,1,1613.73,2,desktop
48.0,130,2,114.85,2,desktop
49.0,43,0,0.0,1,mobile
50.0,98,0,0.0,1,desktop
51.0,141,0,0.0,1,desktop
52.0,43,0,0.0,1,mobile
53.0,68,1,93.97,1,mobile
54.0,62,1,36.82,1,mobile
55.0,69,0,0.0,1,mobile
56.0,96,0,0.0,1,desktop
57.0,39,0,0.0,1,mobile
58.0,13,0,0.0,1,mobile
59.0,119,1,8.26,1,mobile
60.0,111,0,0.0,1,mobile
61.0,27,0,0.0,1,mobile
62.0,76,0,0.0,1,mobile
63.0,145,0,0.0,2,mobile
64.0,99,1,33.61,1,mobile
65.0,151,1,9.37,2,mobile
66.0,113,1,190.69,1,mobile
67.0,86,2,3195.31,2,mobile
68.0,16,0,0.0,1,mobile
70.0,38,0,0.0,1,mobile
71.0,50,0,0.0,1,mobile
72.0,68,1,18.6,1,desktop
73.0,122,1,26.79,1,mobile
74.0,89,0,0.0,1,desktop
75.0,21,0,0.0,1,tablet
76.0,36,0,0.0,1,mobile
77.0,89,0,0.0,1,mobile
78.0,126,0,0.0,1,mobile
79.0,112,1,791.88,1,mobile
80.0,195,0,0.0,2,mobile
81.0,130,1,725.67,1,mobile
82.0,152,0,0.0,1,desktop
83.0,72,1,1817.05,1,desktop
84.0,27,0,0.0,1,mobile
85.0,26,0,0.0,1,desktop
86.0,46,0,0.0,1,mobile
87.0,72,1,474.46,1,mobile
88.0,29,0,0.0,1,mobile
89.0,112,1,219.76,1,tablet
90.0,113,0,0.0,1,mobile
91.0,103,1,12.85,1,mobile
92.0,46,1,1210.25,1,mobile
93.0,65,2,1354.25,1,mobile
94.0,122,0,0.0,1,mobile
95.0,112,2,127.91,1,desktop
96.0,71,0,0.0,1,desktop
97.0,37,0,0.0,1,mobile
98.0,133,0,0.0,1,desktop
99.0,109,0,0.0,1,mobile
100.0,32,0,0.0,1,mobile
101.0,29,0,0.0,1,tablet
102.0,53,0,0.0,1,desktop
103.0,128,1,365.08,1,mobile
104.0,127,0,0.0,1,mobile
105.0,12,0,0.0,1,mobile
106.0,18,0,0.0,1,mobile
107.0,97,0,0.0,1,tablet
108.0,69,0,0.0,1,desktop
