merchant_id,total_txns,total_value,fraud_txns,fraud_value,fraud_rate_pct,merchant_category,merchant_country,merchant_risk_score,merchant_age_days,is_high_risk_outlier
1,823,261155.85,8,1479.35,0.9721,gift_cards,US,3.067,1756,False
2,873,202490.22,2,159.86,0.2291,gas_station,US,0.626,1499,False
3,861,230050.74,3,391.57,0.3484,healthcare,US,0.168,302,False
4,869,262099.95,8,1175.92,0.9206,gift_cards,US,2.771,937,False
5,914,257301.41999999998,8,4029.9500000000003,0.8753,travel,US,1.522,1008,False
6,980,248436.25,7,4450.01,0.7143,jewelry,US,1.664,556,False
7,896,238859.18,4,549.57,0.4464,gambling,US,2.21,2674,False
8,861,240174.9,11,4799.75,1.2776,digital_goods,US,2.434,2277,False
9,914,245240.74,6,491.04999999999995,0.6565,gift_cards,US,2.368,2655,False
10,935,250266.65,8,4197.96,0.8556,gift_cards,US,2.029,364,False
11,909,267980.27,3,1203.41,0.33,gift_cards,US,1.936,2865,False
12,922,213458.05,5,2079.88,0.5423,money_transfer,US,3.439,1532,False
13,921,221839.43,12,1801.61,1.3029,travel,GB,2.249,2023,False
14,907,250990.82,5,1041.8899999999999,0.5513,restaurant,US,1.177,2916,True
15,896,229070.13,4,1723.0,0.4464,home_improvement,US,0.273,693,False
16,875,206021.7,4,735.5600000000001,0.4571,grocery,CA,0.557,2583,False
17,923,300429.84,2,435.07,0.2167,grocery,US,0.245,2497,False
18,929,212915.52,7,4900.64,0.7535,home_improvement,US,0.755,978,False
19,912,244144.49,6,1497.79,0.6579,travel,US,1.262,1749,False
20,860,235169.3,10,2086.93,1.1628,jewelry,DE,2.447,2053,False
21,870,253613.23,2,82.25,0.2299,clothing_retail,CA,0.605,315,False
22,872,246062.1,2,214.27999999999997,0.2294,electronics,US,1.597,160,False
23,902,213884.05,6,1605.56,0.6652,money_transfer,US,6.084,204,False
24,902,287412.71,3,3204.84,0.3326,travel,US,1.21,2330,False
25,897,240051.19,6,1106.29,0.6689,subscription,US,0.875,1881,False
26,928,242102.86000000002,5,1132.53,0.5388,money_transfer,AU,3.567,1049,False
27,923,257677.91,4,1536.9699999999998,0.4334,travel,US,1.241,1986,False
28,885,232756.65,9,2613.85,1.0169,jewelry,AU,2.824,1925,False
29,964,268171.67,11,2765.97,1.1411,digital_goods,US,2.385,947,False
30,892,243989.23,1,189.36,0.1121,healthcare,CA,0.146,1517,False
31,899,278818.77,7,1547.1399999999999,0.7786,restaurant,CA,0.295,2810,False
32,844,228663.22,5,1047.55,0.5924,clothing_retail,US,0.882,2683,False
33,903,279758.22000000003,3,233.59,0.3322,gift_cards,US,1.24,554,False
34,867,244672.62,6,1029.3200000000002,0.692,home_improvement,US,0.465,791,False
35,901,243989.13,8,533.2900000000001,0.8879,gambling,US,1.575,489,False
