txn_date,txn_count,total_value,fraud_count,fraud_value,fraud_rate_pct,rolling_7d_fraud_rate_pct
2024-01-01,927,45100.29,2,657.47,0.2157,0.2157
2024-01-02,983,50128.7,12,782.9399999999998,1.2208,0.733
2024-01-03,984,50218.06,6,461.41999999999996,0.6098,0.6911
2024-01-04,989,52020.44,4,202.54000000000002,0.4044,0.6181
2024-01-05,1025,63321.96,13,1497.8200000000002,1.2683,0.7539
2024-01-06,998,55479.96,8,1564.0100000000002,0.8016,0.7619
2024-01-07,986,61344.43,4,507.09000000000003,0.4057,0.711
2024-01-08,961,55782.78,9,366.55,0.9365,0.8085
2024-01-09,901,60735.25,7,637.96,0.7769,0.7452
2024-01-10,991,64676.92,8,555.0799999999999,0.8073,0.7736
2024-01-11,1015,63795.98,12,1079.33,1.1823,0.887
2024-01-12,939,62609.77,6,299.53999999999996,0.639,0.7952
2024-01-13,936,70242.69,6,917.7600000000001,0.641,0.7728
2024-01-14,1051,65291.66,11,1548.6400000000003,1.0466,0.8684
2024-01-15,985,78056.7,14,1494.12,1.4213,0.9387
2024-01-16,949,73838.32,8,1521.6100000000001,0.843,0.9467
2024-01-17,930,68915.48,7,395.36000000000007,0.7527,0.9405
2024-01-18,990,81913.73,9,716.95,0.9091,0.8997
2024-01-19,1005,82235.45,12,2004.5499999999997,1.194,0.9787
2024-01-20,995,79308.62,6,1241.1800000000003,0.603,0.9703
2024-01-21,988,76048.29,4,1316.2600000000002,0.4049,0.8769
2024-01-22,1013,78261.93,13,5361.709999999999,1.2833,0.8588
2024-01-23,1019,80168.79,12,4228.15,1.1776,0.9078
2024-01-24,994,73704.14,8,864.8199999999999,0.8048,0.9138
2024-01-25,968,86596.53,9,1647.07,0.9298,0.9166
2024-01-26,1000,77979.14,1,31.52,0.1,0.7596
2024-01-27,1003,82070.65,10,689.39,0.997,0.816
2024-01-28,1019,95990.48,8,1180.38,0.7851,0.8694
2024-01-29,953,81594.07,9,898.11,0.9444,0.8194
2024-01-30,946,70444.54,4,2989.7,0.4228,0.7119
2024-01-31,960,85697.22,7,402.60999999999996,0.7292,0.7008
2024-02-01,1032,90183.66,13,811.72,1.2597,0.7522
2024-02-02,953,83772.08,7,373.96,0.7345,0.8447
2024-02-03,1036,87020.66,7,1041.3600000000001,0.6757,0.7972
2024-02-04,968,85503.9,14,2684.52,1.4463,0.8908
2024-02-05,951,90147.53,9,754.3199999999999,0.9464,0.891
2024-02-06,993,82286.16,3,175.29999999999998,0.3021,0.8704
2024-02-07,1002,84102.41,6,198.31,0.5988,0.8508
2024-02-08,993,75140.03,7,673.98,0.7049,0.7686
2024-02-09,976,78100.66,10,1325.84,1.0246,0.8094
2024-02-10,1050,89292.78,10,242.16,0.9524,0.851
2024-02-11,967,91485.39,10,2306.82,1.0341,0.7934
2024-02-12,996,98585.26,10,1369.58,1.004,0.8026
2024-02-13,997,100521.61,8,792.76,0.8024,0.8738
2024-02-14,994,103439.56,8,2792.5099999999998,0.8048,0.9035
2024-02-15,982,97462.99,5,328.48,0.5092,0.8762
2024-02-16,971,96878.14,4,397.97999999999996,0.4119,0.7906
2024-02-17,955,93798.61,4,666.1099999999999,0.4188,0.7141
2024-02-18,984,89115.71,6,581.42,0.6098,0.6542
2024-02-19,977,96376.21,6,797.4599999999999,0.6141,0.5977
2024-02-20,1046,98906.89,7,7007.959999999999,0.6692,0.579
2024-02-21,995,100016.9,6,888.74,0.603,0.5499
2024-02-22,958,103779.0,11,1093.6799999999998,1.1482,0.639
