investigation_id,transaction_id,flagged_date,flag_score,outcome,resolution_time_hours,amount,is_fraud,customer_id,merchant_id
1,363,2024-01-01 08:59:37,2,false_positive_cleared,11.94,7.6,False,5895,119
2,538,2024-01-01 13:53:52,2,false_positive_cleared,5.12,44.56,False,4047,365
3,803,2024-01-01 20:53:56,2,false_positive_cleared,0.73,54.46,False,1256,123
4,1173,2024-01-02 06:42:19,2,false_positive_cleared,8.2,16.81,False,3854,515
5,1214,2024-01-02 07:32:22,2,false_positive_cleared,4.65,44.02,False,3075,785
6,1304,2024-01-02 09:19:12,2,false_positive_cleared,10.95,36.1,False,5731,702
7,1506,2024-01-02 14:03:51,2,false_positive_cleared,16.08,27.54,False,2829,436
8,1611,2024-01-02 16:29:53,0,false_positive_cleared,7.54,69.7,False,3622,186
9,1997,2024-01-03 02:13:47,2,false_positive_cleared,6.63,10.23,False,2258,272
10,2724,2024-01-03 20:01:48,2,false_positive_cleared,3.87,49.33,False,1068,785
11,2769,2024-01-03 21:24:17,2,confirmed_fraud,17.75,3.52,True,3539,282
12,3018,2024-01-04 03:28:13,2,false_positive_cleared,19.26,150.74,False,3099,189
13,3305,2024-01-04 10:09:20,2,false_positive_cleared,16.14,5.9,False,2703,370
14,3377,2024-01-04 11:36:12,2,confirmed_fraud,21.88,22.91,True,923,566
15,3385,2024-01-04 11:46:19,2,false_positive_cleared,19.25,88.9,False,1351,315
16,3488,2024-01-04 14:20:13,2,false_positive_cleared,8.84,31.95,False,3677,449
17,3560,2024-01-04 15:59:05,2,false_positive_cleared,8.86,10.28,False,1486,173
18,3828,2024-01-04 22:30:41,2,false_positive_cleared,21.45,26.87,False,4536,540
19,4050,2024-01-05 04:16:09,2,confirmed_fraud,34.54,16.87,True,3233,342
20,4063,2024-01-05 04:38:41,2,false_positive_cleared,4.36,158.59,False,2788,709
21,4090,2024-01-05 05:22:00,2,confirmed_fraud,24.52,76.97,True,1400,640
22,4141,2024-01-05 06:33:55,2,false_positive_cleared,11.56,11.04,False,5451,1
26,4285,2024-01-05 10:00:56,0,confirmed_fraud,36.51,5.57,False,70,530
25,4583,2024-01-05 16:58:27,0,false_positive_cleared,4.03,82.79,False,1434,162
24,4802,2024-01-05 21:30:48,2,false_positive_cleared,5.75,355.09,False,1434,341
23,4830,2024-01-05 22:03:00,2,false_positive_cleared,1.16,36.26,False,8,130
27,5120,2024-01-06 05:00:40,2,confirmed_fraud,1.9,113.9,True,3786,85
30,5218,2024-01-06 08:13:51,1,false_positive_cleared,14.07,30.46,False,1898,557
28,5571,2024-01-06 16:29:37,2,false_positive_cleared,32.44,273.02,False,2054,451
29,5629,2024-01-06 17:47:18,2,false_positive_cleared,6.34,34.9,False,2513,731
31,5945,2024-01-07 00:42:33,2,false_positive_cleared,3.59,47.07,False,4053,633
32,6096,2024-01-07 04:57:56,2,false_positive_cleared,12.07,66.32,False,730,754
33,6259,2024-01-07 08:31:25,2,confirmed_fraud,11.54,66.59,True,4854,16
36,6263,2024-01-07 08:36:14,0,false_positive_cleared,1.11,3.58,False,224,362
34,6382,2024-01-07 11:37:16,2,false_positive_cleared,7.4,34.83,False,5971,293
35,6426,2024-01-07 12:35:31,2,false_positive_cleared,19.53,15.21,False,4572,205
37,6893,2024-01-08 00:00:04,2,false_positive_cleared,2.1,162.05,False,2571,190
38,7094,2024-01-08 05:00:09,2,false_positive_cleared,19.87,56.33,False,5866,398
39,7110,2024-01-08 05:37:17,2,false_positive_cleared,4.2,116.48,False,1729,530
40,7230,2024-01-08 08:45:17,2,false_positive_cleared,38.05,194.26,False,5971,582
41,7613,2024-01-08 18:08:13,2,confirmed_fraud,17.49,5.98,True,4771,233
42,7765,2024-01-08 21:42:33,2,false_positive_cleared,18.31,19.82,False,5260,762
43,7814,2024-01-08 22:54:52,2,false_positive_cleared,4.75,7.4,False,2106,221
44,8110,2024-01-09 06:32:44,2,false_positive_cleared,7.2,89.31,False,4225,656
45,8484,2024-01-09 16:51:26,2,false_positive_cleared,11.27,39.2,False,4039,733
46,8547,2024-01-09 18:32:26,2,false_positive_cleared,12.24,36.07,False,5052,491
47,8607,2024-01-09 20:16:42,2,false_positive_cleared,8.51,113.15,False,5427,244
48,8763,2024-01-10 00:10:52,2,false_positive_cleared,16.39,162.5,False,3155,518
49,8792,2024-01-10 00:41:07,2,false_positive_cleared,15.25,5.12,False,5730,193
50,8830,2024-01-10 01:23:04,2,false_positive_cleared,11.91,7.51,False,1796,176
51,9462,2024-01-10 16:42:54,2,false_positive_cleared,11.58,108.27,False,1863,136
53,9869,2024-01-11 02:46:21,0,false_positive_cleared,13.38,279.69,False,1669,197
52,10449,2024-01-11 16:36:43,2,false_positive_cleared,18.04,88.24,False,5901,544
57,10868,2024-01-12 02:46:50,0,false_positive_cleared,14.48,17.27,False,2732,655
58,11161,2024-01-12 10:17:46,0,false_positive_cleared,6.16,150.73,False,4835,279
54,11211,2024-01-12 11:30:38,2,false_positive_cleared,6.23,3.77,False,3011,580
56,11241,2024-01-12 12:05:49,2,false_positive_cleared,14.72,7.05,False,566,396
55,11479,2024-01-12 18:22:57,2,confirmed_fraud,8.27,44.5,True,5927,681
59,11749,2024-01-13 01:15:20,2,false_positive_cleared,6.58,1060.53,False,5619,579
60,11958,2024-01-13 05:43:45,2,false_positive_cleared,37.51,159.69,False,2191,708
62,12294,2024-01-13 14:52:11,0,false_positive_cleared,14.85,273.91,False,5541,725
61,12403,2024-01-13 17:23:17,2,false_positive_cleared,4.77,122.48,False,4341,417
63,12763,2024-01-14 02:50:10,2,confirmed_fraud,20.66,377.86,True,4576,400
68,12882,2024-01-14 05:43:02,1,false_positive_cleared,3.37,29.77,False,2937,606
64,12905,2024-01-14 06:29:24,2,false_positive_cleared,6.28,19.77,False,5501,191
65,12941,2024-01-14 07:13:47,2,false_positive_cleared,8.26,102.26,False,3012,170
69,13060,2024-01-14 09:56:29,0,false_positive_cleared,23.71,10.14,False,5076,609
66,13337,2024-01-14 16:16:41,2,false_positive_cleared,22.47,139.54,False,1529,521
70,13528,2024-01-14 20:25:48,0,false_positive_cleared,16.26,3.29,False,5282,255
67,13551,2024-01-14 20:56:04,2,confirmed_fraud,7.22,318.16,False,406,679
71,13817,2024-01-15 03:26:53,2,false_positive_cleared,7.89,78.43,False,3408,717
75,13896,2024-01-15 05:25:32,0,false_positive_cleared,2.81,1.71,False,4830,200
72,13918,2024-01-15 05:48:28,2,confirmed_fraud,4.3,34.29,True,1769,103
73,14545,2024-01-15 20:56:40,2,false_positive_cleared,0.91,8.9,False,3515,80
74,14552,2024-01-15 21:03:45,2,false_positive_cleared,10.7,53.49,False,1001,391
76,14777,2024-01-16 02:55:04,2,false_positive_cleared,15.76,105.95,False,437,427
77,15585,2024-01-16 23:10:27,2,false_positive_cleared,12.11,18.21,False,4420,429
79,15686,2024-01-17 02:07:24,2,false_positive_cleared,2.99,194.36,False,2550,463
81,15922,2024-01-17 08:04:07,2,false_positive_cleared,8.81,4909.93,False,577,679
80,15965,2024-01-17 09:08:43,2,false_positive_cleared,5.79,86.99,False,3732,114
82,15983,2024-01-17 09:43:56,2,false_positive_cleared,3.83,99.54,False,2912,791
83,15993,2024-01-17 09:59:37,2,false_positive_cleared,13.89,50.71,False,4296,367
84,16089,2024-01-17 12:29:57,2,false_positive_cleared,1.35,39.18,False,671,103
85,16223,2024-01-17 16:08:07,2,false_positive_cleared,5.43,7.18,False,5814,226
78,16543,2024-01-17 23:50:27,3,false_positive_cleared,0.42,1664.69,False,5384,544
86,16626,2024-01-18 01:36:08,2,false_positive_cleared,6.97,2.64,False,2060,790
87,16768,2024-01-18 04:31:10,2,false_positive_cleared,12.36,2964.51,False,5463,675
88,16827,2024-01-18 06:22:54,2,false_positive_cleared,8.0,1610.21,False,1852,1
89,16972,2024-01-18 09:46:38,2,false_positive_cleared,9.03,1150.98,False,5368,738
90,17002,2024-01-18 10:15:39,2,false_positive_cleared,2.07,5.88,False,919,115
91,17071,2024-01-18 11:43:01,2,false_positive_cleared,13.92,3.21,False,811,739
92,17086,2024-01-18 11:57:46,2,false_positive_cleared,16.63,37.43,False,1733,365
93,17177,2024-01-18 14:33:00,2,false_positive_cleared,8.64,7.61,False,3208,476
94,17552,2024-01-19 00:17:22,2,false_positive_cleared,10.62,3.91,False,314,34
95,17599,2024-01-19 01:27:10,2,false_positive_cleared,10.17,148.23,False,3991,492
96,17608,2024-01-19 01:39:20,2,confirmed_fraud,11.52,51.6,True,4283,775
97,17673,2024-01-19 03:11:26,2,false_positive_cleared,6.25,15.38,False,5655,631
98,17815,2024-01-19 06:30:39,2,false_positive_cleared,13.55,18.31,False,1824,207
99,17874,2024-01-19 07:38:43,2,false_positive_cleared,7.78,16.5,False,3504,377
100,18026,2024-01-19 11:10:30,2,false_positive_cleared,13.75,2609.67,False,2852,529
101,18130,2024-01-19 14:06:08,2,false_positive_cleared,5.68,7.2,False,250,611
102,18198,2024-01-19 15:38:39,2,false_positive_cleared,11.71,22.42,False,2139,758
103,18239,2024-01-19 16:53:08,2,false_positive_cleared,6.69,7.79,False,915,539
104,18763,2024-01-20 05:08:26,2,false_positive_cleared,13.78,7.49,False,1006,339
105,19011,2024-01-20 11:10:52,2,false_positive_cleared,9.6,57.72,False,556,674
106,19095,2024-01-20 13:29:46,2,false_positive_cleared,21.28,8802.55,False,544,341
107,19152,2024-01-20 14:30:32,2,false_positive_cleared,9.42,27.96,False,3121,270
108,19464,2024-01-20 22:08:02,2,false_positive_cleared,8.32,15.3,False,3080,343
109,19466,2024-01-20 22:11:28,0,false_positive_cleared,3.05,8.42,False,5459,255
114,19549,2024-01-21 00:15:00,0,false_positive_cleared,13.52,7.61,False,2498,664
110,19574,2024-01-21 00:44:14,2,false_positive_cleared,5.22,106.51,False,786,783
111,19976,2024-01-21 10:04:24,2,false_positive_cleared,3.67,107.71,False,3266,387
115,20019,2024-01-21 11:10:30,0,false_positive_cleared,10.12,178.51,False,5270,139
112,20142,2024-01-21 14:15:51,2,false_positive_cleared,13.91,490.12,False,1450,106
113,20190,2024-01-21 15:44:59,2,false_positive_cleared,19.95,2.08,False,5334,669
116,20402,2024-01-21 20:51:53,0,false_positive_cleared,8.44,9.79,False,800,72
