threshold,n_flagged,fraud_prevented,investigation_cost,friction_cost,net_business_value,precision,recall
0.05,53972,213687.86,647664.0,429184.0,-863160.14,0.006,0.9969
0.1,53260,211029.78,639120.0,423512.0,-851602.22,0.006,0.9877
0.15,51285,205450.55,615420.0,407808.0,-817777.45,0.006,0.9508
0.2,47237,196977.82,566844.0,375528.0,-745394.18,0.0063,0.9108
0.25,40881,190544.28,490572.0,324816.0,-624843.72,0.0068,0.8585
0.3,33043,172758.05,396516.0,262376.0,-486133.95,0.0074,0.7569
0.35,24743,164337.38,296916.0,196200.0,-328778.61,0.0088,0.6708
0.4,17235,153974.47,206820.0,136408.0,-189253.53,0.0107,0.5662
0.45,11222,143762.34,134664.0,88560.0,-79461.66,0.0135,0.4677
0.5,6991,132750.05,83892.0,54864.0,-6005.95,0.019,0.4092
0.55,4502,131066.57,54024.0,35048.0,41994.57,0.0269,0.3723
0.6,3194,127836.69,38328.0,24672.0,64836.69,0.0344,0.3385
0.65,2488,126554.88,29856.0,19080.0,77618.88,0.0414,0.3169
0.7,1978,114403.78,23736.0,15064.0,75603.78,0.048,0.2923
0.75,1477,106769.43,17724.0,11136.0,77909.43,0.0575,0.2615
0.8,974,96562.89,11688.0,7208.0,77666.89,0.0749,0.2246
0.85,593,80716.08,7116.0,4304.0,69296.08,0.0927,0.1692
0.9,346,35632.23,4152.0,2472.0,29008.23,0.1069,0.1138
0.95,46,3662.11,552.0,304.0,2806.11,0.1739,0.0246
